name,geom_lat,geom_long,country,place
"L6C,43.9045,-79.3392,""CA"",""Markham Northwest"""
"L6E,43.9002,-79.2676,""CA"",""Markham Northeast"""
"L6G,43.8485,-79.3346,""CA"",""Markham Inner Southwest"""
"L6H,43.4881,-79.7098,""CA"",""Oakville North"""
"L6J,43.4757,-79.6591,""CA"",""Oakville Northeast"""
"L6K,43.4396,-79.6878,""CA"",""Oakville East"""
"L6L,43.4032,-79.7186,""CA"",""Oakville South"""
"L6M,43.4464,-79.7593,""CA"",""Oakville West"""
"L6P,43.7942,-79.7021,""CA"",""Brampton North"""
"L6R,43.7592,-79.7605,""CA"",""Brampton Northwest"""
"L6S,43.7379,-79.726,""CA"",""Brampton North Central"""
"L6T,43.7196,-79.6854,""CA"",""Brampton East"""
"L6V,43.7059,-79.7626,""CA"",""Brampton Central"""
"L6W,43.68,-79.7273,""CA"",""Brampton Southeast"""
"L6X,43.6665,-79.8054,""CA"",""Brampton Southwest"""
"L6Y,43.6249,-79.7876,""CA"",""Brampton South"""
"L6Z,43.7328,-79.7953,""CA"",""Brampton West Central"""
"L7A,43.6909,-79.8377,""CA"",""Brampton West"""
"L7B,43.9286,-79.5269,""CA"",""King City"""
"L7C,43.8753,-79.8558,""CA"",""Caledon"""
"L7E,43.8795,-79.7379,""CA"",""Bolton"""
"L7G,43.6501,-79.9163,""CA"",""Georgetown"""
"L7J,43.6297,-80.0415,""CA"",""Acton"""
"L7K,43.8602,-79.996,""CA"",""Caledon Village"""
"L7L,43.3799,-79.7668,""CA"",""Burlington Northeast"""
"L7M,43.4342,-79.8701,""CA"",""Burlington North"""
"L7N,43.3512,-79.784,""CA"",""Burlington East"""
"L7P,43.3806,-79.886,""CA"",""Burlington West"""
"L7R,43.375,-79.8434,""CA"",""Burlington Southeast"""
"L7S,43.323,-79.8092,""CA"",""Burlington South"""
"L7T,43.3081,-79.8507,""CA"",""Burlington Southwest"""
"L8B,43.3334,-79.8829,""CA"",""Waterdown"""
"L8E,43.2245,-79.6988,""CA"",""Hamilton (Confederation Park / Nashdale / East Kentley / Riverdale / Lakely / Grayside / North Stoney Creek)"""
"L8G,43.2164,-79.7423,""CA"",""Hamilton (Greenford / North Gershome / West Stoney Creek)"""
"L8H,43.2596,-79.7925,""CA"",""Hamilton (West Kentley / McQuesten / Parkview / Hamilton Beach / East Industrial Sector / Normanhurst / Homeside / East Crown Point)"""
"L8J,43.1836,-79.721,""CA"",""Hamilton (East Albion Falls / South Stoney Creek)"""
"L8K,43.2211,-79.7994,""CA"",""Hamilton (East Delta / Bartonville / Glenview / Rosedale / Lower King's Forest / Red Hill / Corman / Vincent / South Gershome)"""
"L8L,43.2783,-79.8344,""CA"",""Hamilton (West Industrial Sector / West Crown Point / North Stipley / North Gibson / Landsdale / Keith / North End / Beasley)"""
"L8M,43.2441,-79.8359,""CA"",""Hamilton (West Delta / Blakeley / South Stipley / South Gibson / St. Clair)"""
"L8N,43.4017,-80.017,""CA"",""Hamilton (Stinson / Corktown)"""
"L8P,43.2514,-79.8925,""CA"",""Hamilton (Durand / Kirkendall / Chedoke Park)"""
"L8R,43.2726,-79.8792,""CA"",""Hamilton (Central / Strathcona / South Dundurn)"""
"L8S,43.2606,-79.9161,""CA"",""Hamilton (Westdale / Cootes Paradise / Ainslie Wood)"""
"L8T,43.2199,-79.8286,""CA"",""Hamilton (Sherwood / Huntington / Upper King's Forest / Lisgar / Berrisfield / Hampton Heights / Sunninghill)"""
